code,title
111,LEGISLATORS
112,CHIEF EXECUTIVES AND GENERAL ADMINISTRATORS
1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRATORS"
1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS
1133,NATURAL RESOURCES PROGRAM ADMINSITRATORS
1134,"RURAL, URBAN, AND COMMUNITY DEVELOPMENT PROGRAM ADMINISTRATORS"
1135,"PUBLIC FINANCE, TAXATION, AND OTHER MONETARY PROGRAM ADMINSITRATORS"
1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINISTRATION, NEC"
121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES
122,FINANCIAL MANAGERS
123,PERSONNEL AND LABOR RELATIONS MANAGERS
124,PURCHASING MANAGERS
125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELATIONS"
126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SCIENCE"
127,MANAGERS; SOCIAL SCIENCES AND RELATED FIELDS
1281,ADMINISTRATORS; COLLEGES AND UNIVERSITIES
1282,ADMINISTRATORS; ELEMENTARY AND SECONDARY EDUCATION
1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NEC"
131,MANAGERS; MEDICINE AND HEALTH
132,"PRODUCTION MANAGERS, INDUSTRIAL"
133,CONSTRUCTION MANAGERS
1341,COMMUNICATIONS OPERATIONS MANAGERS
1342,TRANSPORTATION FACILITIES AND OPERATIONS MANAGERS
1343,"ELECTRICITY, GAS, WATER SUPPLY, AND SANTIARY SERVICES MANAGERS"
1344,POSTMASTERS AND MAIL SUPERINTENDENTS
1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS
1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES
1353,MANAGERS; PROPERTY AND LEASING
1354,MANAGERS; MEMBERSHIP ORGANIZATIONS
1359,"MANAGERS; SERVICE ORGANIZATIONS, NEC"
136,"MANAGERS; MINING, QUARRYING, WELL DRILLING, AND SIMILAR"
137,MANAGERS: ADMINISTRATIVE SERVICES
139,"OFFICIALS AND ADMINISTRATORS; OTHER, NEC"
1412,ACCOUNTANTS AND AUDITORS
1414,UNDERWRITERS
1415,LOAN OFFICIERS
1419,OTHER FINANCIAL OFFICERS
142,MANAGEMENT ANALYST
143,"PERSONNEL, TRAINING, AND LABOR RLATIONS SPECIALISTS"
1442,"BUYERS, WHOLESALE AND RETAIL TRADE, EXCEPT FARM PRODUCTS"
1443,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS"
1449,"PURCHASING AGENTS AND BUYERS, NEC"
145,BUSINESS AND PROMOTION AGENTS
1472,CONSTRUCTION INSPECTORS
1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRUCTION"
149,"MANAGEMENT RELATED OCCUPATIONS, NEC"
161,ARCHITECTS
1622,AEROSPACE ENGINEERS
1623,METALLURGICAL AND MATERIALS ENGINEERS
1624,MINING ENGINEERS
1625,PETROLEUM ENGINEERS
1626,CHEMICAL ENGINEERS
1627,NUCLEAR ENGINEERS
1628,CIVIL ENGINEERS
1632,AGRICULTURAL ENGINEERS
1633,ELECTRICAL AND ELECTRONIC ENGINEERS
1634,INDUSTRIAL ENGINEERS
1635,MECHANICAL ENGINEERS
1636,COMPUTER ENGINEERS
1637,MARINE ENGINEERS AND NAVAL ARCHITECTS
1639,"ENGINEERS, NEC"
1643,LAND SURVEYORS
1644,CARTOGRAPHERS
1649,"SURVEYORS AND MAPPING SCIENTISTS, NEC"
1712,COMPUTER SYSTEMS ANALYSTS
1719,"COMPUTER SCIENTISTS, NEC"
1721,OPERATIONS RESEARCHERS AND ANLYSTS
1722,"SYSTEMS RESEARCHERS AND ANALYSTS, EXCEPT COMPUTER"
1732,ACTUARIES
1733,STATISTICIANS
1739,"MATHEMATICAL SCIENTISTS, NEC"
1842,ASTRONOMERS
1843,PHYSICISTS
1845,"CHEMISTS, EXCEPT BIOCHEMISTS"
1846,ATMOSPHERIC AND SPACE SCIENTISTS
1847,GEOLOGISTS
1849,"PHYSICAL SCIENTISTS, NEC"
1852,FORESTRY AND CONSERVATION SCIENTISTS
1853,AGRICULTURAL AND FOOD SCIENTISTS
1854,BIOLOGICAL SCIENTISTS
1855,MEDICAL SCIENTISTS
1912,ECONOMISTS
1913,HISTORIANS
1914,POLITICAL SCIENTISTS
1915,PSYCHOLOGISTS
1916,SOCIOLOGISTS
1919,"SOCIAL SCIENTISTS, NEC"
192,URBAN AND REGIONAL PLANNERS
2032,SOCIAL WORKERS
2033,RECREATION WORKERS
2042,CLERGY
2049,RELIGIOUS WORKERS NEC
211,LAWYERS
212,JUDGES
2212,"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEACHERS"
2213,BIOLOGICAL SCIENCES TEACHERS
2214,CHEMISTRY TEACHERS
2215,PHYSICS TEACHERS
2216,"NATURAL SCIENCES TEACHERS, NEC"
2217,PSYCHOLOGY TEACHERS
2218,ECONOMICS TEACHERS
2222,HISTORY TEACHERS
2223,POLITICAL SCIENCE TEACHERS
2224,SOCIOLOGY TEACHERS
2225,"SOCIAL SCIENCES TEACHERS, NEC"
2226,ENGINEERING TEACHERS
2227,MATHEMATICAL SCIENCES TEACHERS
2228,COMPUTER SCIENCE TEACHERS
2231,MEDICAL SCIENCE TEACHERS
2232,"HEALTH SPECIALTIES TEACHERS, NEC"
2233,"BUSINESS, COMMERCE AND MARKETING TEACHERS"
2234,AGRICULTURE TEACHERS
2235,"ART, DRAMA, AND MUSIC TEACHERS"
2236,PHYSICAL EDUCATION TEACHERS
2237,EDUCATION TEACHERS
2238,ENGLISH TEACHERS
2242,FOREIGN LANGUAGE TEACHERS
2243,LAW TEACHERS
2244,SOCIAL WORK TEACHERS
2245,THEOLOGY TEACHERS
2246,TRADE AND INDUSTRIAL TEACHERS
2247,HOME ECONOMICS TEACHERS
2249,"TEACHERS; POSTSECONDARY, NEC"
231,PREKINDERGARTEN AND KINDERGARTEN TEACHERS
232,ELEMENTARY SCHOOL TEACHERS
233,SECONDARY SCHOOL TEACHERS
235,TEACHERS; SPECIAL EDUCATION
236,INSTRUCTIONAL COORDINATORS
239,"ADULT EDUCATION AND OTHER TEACHERS, NEC"
24,VOCATIONAL AND EDUCATIONAL COUNSELORS
251,LIBRARIANS
252,ARCHIVISTS AND CURATORS
261,PHYSICIANS
262,DENTISTS
27,VETERINARIANS
281,OPTOMETRISTS
283,PODIATRISTS
289,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, NEC"
29,REGISTERED NURSES
301,PHARMACISTS
302,DIETITIANS
3031,RESPIRATORY THERAPISTS
3032,OCCUPATIONAL THERAPISTS
3033,PHYSICAL THERAPISTS
3034,SPEECH PATHOLOGISTS AND AUDIOLOGISTS
3039,"THERAPISTS, NEC"
304,PHYSICIAN'S ASSISTANTS
321,AUTHORS
322,DESIGNERS
323,MUSICIANS AND COMPOSERS
324,ACTORS AND DIRECTORS
325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRINTMAKE"
326,PHOTOGRAPHERS
327,DANCERS
328,"PERFORMERS, NEC"
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NEC"
3312,EDITORS
3313,REPORTERS
332,PUBLIC RELATIONS SPECIALISTS AND PUBLICITY WRITERS
333,"RADIO, TELEVISION AND OTHER ANNOUNCERS"
34,ATHLETES AND RELATED WORKERS
362,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS
363,DENTAL HYGIENISTS
364,HEALTH RECORD TECHNOLOGISTS AND TECHNICIANS
365,RADIOLOGIC TECHNOLOGISTS AND TECHNICIANS
366,LICENSED PRACTICAL NURSES
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NEC"
3711,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGISTS AND TECHNICIANS
3712,INDUSTRIAL ENGINEERING TECHNOLOGISTS AND TECHNICIANS
3713,MECHANICAL ENGINERING TECHNOLOGISTS AND TECHNICIANS
3719,"ENGINEERING TECHNOLOGISTS AND TECHNICIANS, NEC"
372,DRAFTING OCCUPATIONS
3733,SURVEYING TECHNICIANS
3734,CARTOGRAPHIC TECHNICIANS
3739,"SURVEYING AND MAPPING TECHNICIANS, NEC"
382,"BIOLOGICAL TECHNOLOGISTS AND TECHNICIANS, EXCEPT HEALTH"
3831,CHEMICAL TECHNOLOGISTS AND TECHNICIANS
3832,NUCLEAR TECHNOLOGISTS AND TECHNICIANS
3833,PETROLEUM TECHNOLOGISTS AND TECHNICIANS
384,MATHEMATICAL TECHNICIANS
389,"SCIENCE TECHNOLOGISTS AND TECHNICIANS, NEC"
392,AIR TRAFFIC CONTROLLERS
393,RADIO AND RELATED OPERATORS
396,LEGAL TECHNICIANS
3971,"PROGRAMMERS, BUSINESS"
3972,"PROGRAMMERS, SCIENTIFIC"
3974,"PROGRAMMERS, NUMERICAL, TOOL AND PROCESS CONTROL"
398,TECHNICIAL WRITERS
399,"TECHNICIANS, NEC"
401,"SUPERVISORS; SALES OCCUPATIONS, INSURANCE, REAL ESTATE AND BUSINESS SERVICE"
402,"SUPERVISIORS; SALES OCCUPATIONS, COMMODITIES EXCEPT RETAIL"
403,"SUPERVISORS; SALES OCCUPATIONS, RETAIL"
4122,INSURANCE SALES OCCUPATIONS
4123,REAL ESTATE SALES OCCUPATIONS
4124,SECURITIES AND FINANICAL SERVICE SALES OCCUPATIONS
4152,"BUSINESS SERVICE, EXCEPT ADVERTISING, SALES OCCUPATIONS"
4153,ADVERTISING AND RELATED SALES OCCUPATIONS
421,SALES ENGINEERS
4232,"TECHNICAL SALES WORKERS, AIRCRAFT"
4233,"TECHNICAL SALES WORKERS, AGRICULTURAL EQUIPMENT AND SUPPLIES"
4234,"TECHNICAL SALES WORKERS, ELECTRONIC EQUIPMENT"
4235,"TECHNICAL SALES WORKERS, INDUSTRIAL MACHINERY, EQUIPMENT AND SUPPLIES"
4236,"TECHNICAL SALES WORKERS, MEDICAL AND DENTAL EQUIPMENT AND SUPPLIES"
4237,TECHNICAL SALES WORKERS; CHEMICALS AND CHEMICAL PRODUCT
4239,"TECHNICAL SALES WORKERS, NEC"
4242,"SALES REPRESENTATIVES, COMMERCIAL AND INDUSTRIAL EQUIPMENT AND SUPPLIES"
4243,"SALES REPRESENTATIVES, GARMENTS AND RELATED TEXTILE PRODUCTS"
4244,"SALES REPRESENTATIVES, MOTOR VEHICLES AND SUPPLIES"
4245,"SALES REPRESENTATIVES; PULP, PAPER, AND PAPER PRODUCTS"
4246,SALES REPRESENTATIVES; FARM PRODUCTS AND LIVESTOCK
4249,SALES REPRESENTATIVES; NEC
4342,"SALESPERSONS; MOTOR VEHICLES, MOBILE HOMES, AND SUPPLIES"
4343,SALESPERSONS; MUSICAL INSTRUMENTS AND SUPPLIES
4344,SALESPERSONS; BOATS AND MARINE EQUIPMENT AND SUPPLIES
4345,SALESPERSONS; SPORTING GOODS
4346,SALESPERSONS; GARMENTS AND TEXTILE PRODUCTS
4347,"SALESPERSONS; BOOKS, STAMPS, COINS, AND STATIONERY"
4348,SALESPERSONS; FURNITURE AND HOME FURNISHINGS
4351,SALESPERSONS; SHOES
4352,"SALESPERSONS; RADIO, TELEVISION, HIGH FIDELITY, AND HOUSEHOLD APPLIANCES"
4353,SALESPERSONS; HARDWARE
4354,"SALESPERSONS; COSMETICS, TOILETRIES, AND ALLIED PRODUCT"
4356,SALESPERSONS; JEWELRY AND RELATED PRODUCTS
4359,SALESPERSONS; NEC
4362,SALES CLERKS
4363,COUNTER CLERKS
4364,CASHIERS
4365,NEWS VENDORS
4366,"STREET VENDORS, DOOR-TO-DOOR SALES WORKERS, AND RELATED"
4367,SALESPERSONS; PARTS
4369,"SALES OCCUPATIONS; SERVICES, NEC"
444,APPRAISERS AND RELATED OCCUPATIONS
445,"DEMONSTRATORS, PROMOTERS, AND MODELS"
446,SHOPPERS
447,AUCTIONEERS
449,"SALES OCCUPATIONS; OTHER, NEC"
4511,SUPERVISORS; GENERAL OFFICE OCCUPATIONS
4512,SUPERVISORS; COMPUTER AND PERIPHERAL EQUIPMENT OPERATORS
4513,"SUPERVISORS; SECRETARIES, STENOGRAPHERS AND TYPISTS"
4514,SUPERVISORS; INFORMATION CLERKS
4516,SUPERVISORS; CORRESPONDENCE CLERKS AND ORDER CLERKS
4519,SUPERVISORS; RECORD CLERKS
4521,SUPERVISORS; FINANICAL RECORD PROCESSING OCCUPATIONS
4522,"SUPERVISORS; DUPLICATING, MAIL AND OTHER OFFICE MACHINE OPERATORS"
4523,CHIEF COMMUNICATIONS OPERATORS
4524,SUPERVISORS; MAIL AND MESSAGE DISTRIBUTION CLERKS
4525,"SUPERVISORS; MATERIAL RECORDING, SCHEDULING, AND DISTRI"
4528,"SUPERVISORS; ADJUSTERS, INVESTIGATORS, AND COLLECTORS"
4529,SUPERVISORS; MISCELLANEOUS ADMINISTRATIVE SUPPORT OCCUPATIONS
4612,COMPUTER OPERATORS
4613,PERIPHERAL EQUIPMENT OPERATORS
4622,SECRETARIES
4623,STENOGRAPHERS
4624,TYPISTS
463,GENERAL OFFICE OCCUPATIONS
4642,INTERVIEWING CLERKS
4643,HOTEL CLERKS
4644,RESERVATION AGENTS AND TRANSPORTATION TICKET CLERKS
4645,RECEPTIONISTS
4649,"INFORMATION CLERKS, NEC"
4662,CLASSIFIED-AD CLERKS
4663,CORRESPONDENCE CLERKS
4664,ORDER CLERKS
4692,"PERSONNEL CLERKS, EXCEPT PAYROLL AND TIMEKEEPING"
4694,LIBRARY CLERKS
4696,FILE CLERKS
4699,"RECORDS CLERKS, NEC"
4712,BOOKKEEPERS AND ACCOUNTING AND AUDITING CLERKS
4713,PAYROLL AND TIMEKEEPING CLERKS
4715,BILLING CLERKS
4716,COST AND RATE CLERKS
4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATORS"
4722,DUPLICATING MACHINE OPERATORSCE
4723,MAIL PREPARING AND HANDLING MACHINE OPERATORS
4729,"OFFICE MACHINE OPERATORS, NEC"
4732,TELEPHONE OPERATORS
4733,TELEGRAPHERS
4739,"COMMUNICATIONS EQUIPMENT OPERATORS, NEC"
4742,"POSTAL CLERKS, EXCEPT MAIL CARRIERS"
4743,"MAIL CARRIERS, POST OFFICE"
4744,"MAIL CLERKS, EXCEPT POST OFFICE"
4745,MESSENGERS
4751,DISPATCHERS
4752,PRODUCTION AND PLANNING CLERKS
4753,"TRAFFIC, SHIPPING, AND RECEIVING CLERKS"
4754,STOCK AND INVENTORY CLERKS
4755,METER READERS
4756,"WEIGHERS, MEASURERS, AND CHECKERS"
4757,SAMPLERS
4758,EXPEDITERS
4759,"MATERIAL RECORDING, SCHEDULING, AND DISTRIBUTING CLERKS, NEC"
4782,"INSURANCE ADJUSTERS, EXAMINERS, AND INVESTIGATORS"
4783,"INVESTIGATORS AND ADJUSTERS, EXCEPT INSURANCE"
4784,"CLERKS, SOCIAL WELFARE"
4786,BILL AND ACCOUNT COLLECTORS
4787,LICENSE CLERKS
4791,BANK TELLERS
4792,PROOF READERS
4793,DATA ENTRY KEYERS
4794,STATISTICAL CLERKS
4795,TEACHERS AIDES
4799,"ADMINISTRATIVE SUPPORT OCCUPATIONS, INCLUDING CLERICAL, NEC"
502,DAY WORKERS
503,LAUNDERERS AND IRONERS
504,"COOKS, PRIVATE HOUSEHOLD"
505,HOUSEKEEPERS AND BUTLERS
506,"CHILD CARE WORKERS, PRIVATE HOUSEHOLD"
507,PRIVATE HOUSEHOLD CLEANERS AND SERVANTS
509,"PRIVATE HOUSEHOLD OCCUPATIONS, NEC"
5111,SUPERVISORS; FIREFIGHTING AND FIRE PREVENTION OCCUPATIO
5112,SUPERVISORS; POLICE AND DETECTIVES
5113,SUPERVISORS GUARDS
5122,FIRE INSPECTION AND FIRE PREVENTION OCCUPATIONS
5123,FIREFIGHTING OCCUPATIONS
5132,"POLICE AND DETECTIVES, PUBLIC SERVICE"
5133,CORRECTIONAL INSTITUTION OFFICERS
5134,"SHERIFFS, BAILIFFS, AND OTHER LAW ENFORCEMENT OFFICERS"
5142,CROSSING GUARDS
5144,"GUARDS AND POLICE, EXCEPT PUBLIC SERVICE"
5149,"PROTECTIVE SERVICE OCCUPATIONS, NEC"
5211,SUPERVISORS; FOOD AND BEVERAGE PREPARATION AND SERVICE OCCUPATIONS
5212,BARTENDERS
5213,WAITERS AND WAITRESSES
5214,"COOKS, EXCEPT SHORT ORDER"
5215,SHORT-ORDER COOKS
5216,"FOOD COUNTER, FOUNTAIN AND RELATED OCCUPATIONS"
5217,"KITCHEN WORKERS, FOOD PREPARATION"
5218,WATERS'/WAITRESSES' ASSISTANTS
5219,MISCELLANEOUS FOOD AND BEVERAGE PREPARATION OCCUPATIONS
5232,DENTAL ASSISTANTS
5233,"HEALTH AIDES, EXCEPT NURSING"
5236,"NURSING AIDES, ORDERLIES, AND ATTENDANTS"
5241,SUPERVISORS;CLEANING AND BUILDING SERVICE WORKERS
5242,MAIDS AND HOUSEMEN
5244,JANITORS AND CLEANERS
5245,ELEVATOR OPERATORS
5246,PEST CONTROL OCCUPATIONS
5249,"CLEANING AND BUILDING SERVICE OCCUPATIONS, NEC"
5251,SUPERVISORS; PERSONAL SERVICE OCCUPATIONS
5252,BARBERS
5253,HAIRDRESSERS AND COSMETOLOGISTS
5254,"ATTENDANTS, AMUSEMENT AND RECREATION FACILITIES"
5255,GUIDES
5256,USHERS
5257,PUBLIC TRANSPORTATION ATTENDANTS
5258,WARDROBE AND DRESSING ROOM ATTENDANTS
5262,BAGGAGE PORTERS AND BELLHOPS
5263,WELFARE SERVICE AIDES
5264,"CHILD CARE WORKERS, EXCEPT PRIVATE HOUSEHOLD"
5269,"PERSONAL SERVICE OCCUPATIONS, NEC"
5512,GENERAL FARMERS
5513,"CROP, VEGETABLE, FRUIT AND TREE NUT FARMERS"
5514,"LIVESTOCK, DAIRY AND POULTRY FARMERS"
5515,HORTICULTURAL SPECIALTY FARMERS
5522,"MANAGERS, GENERAL FARMS"
5523,"MANAGERS, CROP, VEGETABLE, FRUIT AND TREE NUT FARM"
5524,"MANAGERS, LIVESTOCK, DAIRY AND POULTRY FARM"
5525,"MANAGERS, HORTICULTURAL SPECIALTY FARM"
5611,SUPERVISORS; FARM WORKERS
5612,GENERAL FARM WORKERS
